銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55610.0,2025-12-09 17:55:07
8035,東京エレクトロン,33520.0,2025-12-09 17:55:08
6857,アドバンテスト,20255.0,2025-12-09 17:55:08
6920,レーザーテック,32930.0,2025-12-09 17:55:09
9984,ソフトバンクグループ,18760.0,2025-12-09 17:55:09
6861,キーエンス,54200.0,2025-12-09 17:55:10
7735,SCREENホールディングス,13785.0,2025-12-09 17:55:10
6367,ダイキン工業,19480.0,2025-12-09 17:55:11
7974,任天堂,11870.0,2025-12-09 17:55:11
6954,ファナック,6146.0,2025-12-09 17:55:11
6501,日立製作所,4905.0,2025-12-09 17:55:12
6723,ルネサスエレクトロニクス,2147.0,2025-12-09 17:55:12
7751,キヤノン,4638.0,2025-12-09 17:55:13
6976,太陽誘電,3839.0,2025-12-09 17:55:13
7203,トヨタ自動車,3060.0,2025-12-09 17:55:14
8031,三井物産,4295.0,2025-12-09 17:55:14
8058,三菱商事,3826.0,2025-12-09 17:55:15
8306,三菱UFJフィナンシャル・グループ,2486.5,2025-12-09 17:55:15
8316,三井住友フィナンシャルグループ,4863.0,2025-12-09 17:55:15
8411,みずほフィナンシャルグループ,5650.0,2025-12-09 17:55:16
8591,オリックス,4325.0,2025-12-09 17:55:16
9101,日本郵船,4844.0,2025-12-09 17:55:17
9104,商船三井,4459.0,2025-12-09 17:55:17
9107,川崎汽船,2105.5,2025-12-09 17:55:18
4063,信越化学工業,4801.0,2025-12-09 17:55:18
4502,武田薬品工業,4491.0,2025-12-09 17:55:19
6762,TDK,2391.5,2025-12-09 17:55:19
2914,日本たばこ産業,5794.0,2025-12-09 17:55:19
7201,日産自動車,391.5,2025-12-09 17:55:20
7267,ホンダ,1522.5,2025-12-09 17:55:20
8105,Bitcoin Japan,276.0,2025-12-09 17:55:21
5016,JX金属,1723.5,2025-12-09 17:55:21
3656,KLab,340.0,2025-12-09 17:55:22
4565,そーせいグループ,863.0,2025-12-09 17:55:22
4582,シンバイオ製薬,100.0,2025-12-09 17:55:22
4592,サンバイオ,1735.0,2025-12-09 17:55:23
4477,BASE,317.0,2025-12-09 17:55:23
4599,ステムリム,256.0,2025-12-09 17:55:24
4167,ココペリ,306.0,2025-12-09 17:55:24
4385,メルカリ,2924.5,2025-12-09 17:55:24
4478,フリー,3120.0,2025-12-09 17:55:25
3903,gumi,371.0,2025-12-09 17:55:25
3911,Aiming,224.0,2025-12-09 17:55:26
3697,SHIFT,938.2999877929688,2025-12-09 17:55:26
3624,アクセルマーク,93.0,2025-12-09 17:55:26
7779,サイバーダイン,192.0,2025-12-09 17:55:27
3853,アステリア,1010.0,2025-12-09 17:55:27
3936,グローバルウェイ,130.0,2025-12-09 17:55:28
7359,東京通信,299.0,2025-12-09 17:55:28
4880,セルソース,481.0,2025-12-09 17:55:28
7138,TORICO,142.0,2025-12-09 17:55:29
5250,プライム・ストラテジー,1494.0,2025-12-09 17:55:29
7711,助川電気工業,7060.0,2025-12-09 17:55:30
4424,Amazia,356.0,2025-12-09 17:55:30
6731,ピクセラ,39.0,2025-12-09 17:55:30
7806,MTG,4915.0,2025-12-09 17:55:31
4234,サンエー化研,870.0,2025-12-09 17:55:31
4570,免疫生物研究所,1771.0,2025-12-09 17:55:32
4720,城南進学研究社,273.0,2025-12-09 17:55:32
4446,リンクユーグループ,1055.0,2025-12-09 17:55:33
