銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55610.0,2025-12-10 02:44:40
8035,東京エレクトロン,33520.0,2025-12-10 02:44:41
6857,アドバンテスト,20255.0,2025-12-10 02:44:41
6920,レーザーテック,32930.0,2025-12-10 02:44:42
9984,ソフトバンクグループ,18760.0,2025-12-10 02:44:42
6861,キーエンス,54200.0,2025-12-10 02:44:43
7735,SCREENホールディングス,13785.0,2025-12-10 02:44:43
6367,ダイキン工業,19480.0,2025-12-10 02:44:43
7974,任天堂,11870.0,2025-12-10 02:44:44
6954,ファナック,6146.0,2025-12-10 02:44:45
6501,日立製作所,4905.0,2025-12-10 02:44:45
6723,ルネサスエレクトロニクス,2147.0,2025-12-10 02:44:46
7751,キヤノン,4638.0,2025-12-10 02:44:46
6976,太陽誘電,3839.0,2025-12-10 02:44:47
7203,トヨタ自動車,3060.0,2025-12-10 02:44:47
8031,三井物産,4295.0,2025-12-10 02:44:47
8058,三菱商事,3826.0,2025-12-10 02:44:48
8306,三菱UFJフィナンシャル・グループ,2486.5,2025-12-10 02:44:49
8316,三井住友フィナンシャルグループ,4863.0,2025-12-10 02:44:49
8411,みずほフィナンシャルグループ,5650.0,2025-12-10 02:44:50
8591,オリックス,4325.0,2025-12-10 02:44:50
9101,日本郵船,4844.0,2025-12-10 02:44:51
9104,商船三井,4459.0,2025-12-10 02:44:51
9107,川崎汽船,2105.5,2025-12-10 02:44:52
4063,信越化学工業,4801.0,2025-12-10 02:44:52
4502,武田薬品工業,4491.0,2025-12-10 02:44:53
6762,TDK,2391.5,2025-12-10 02:44:53
2914,日本たばこ産業,5794.0,2025-12-10 02:44:54
7201,日産自動車,391.5,2025-12-10 02:44:54
7267,ホンダ,1522.5,2025-12-10 02:44:55
8105,Bitcoin Japan,276.0,2025-12-10 02:44:55
5016,JX金属,1723.5,2025-12-10 02:44:56
3656,KLab,340.0,2025-12-10 02:44:56
4565,そーせいグループ,863.0,2025-12-10 02:44:56
4582,シンバイオ製薬,100.0,2025-12-10 02:44:57
4592,サンバイオ,1735.0,2025-12-10 02:44:57
4477,BASE,317.0,2025-12-10 02:44:58
4599,ステムリム,256.0,2025-12-10 02:44:58
4167,ココペリ,306.0,2025-12-10 02:44:58
4385,メルカリ,2924.5,2025-12-10 02:44:59
4478,フリー,3120.0,2025-12-10 02:44:59
3903,gumi,371.0,2025-12-10 02:45:00
3911,Aiming,224.0,2025-12-10 02:45:00
3697,SHIFT,938.2999877929688,2025-12-10 02:45:01
3624,アクセルマーク,93.0,2025-12-10 02:45:01
7779,サイバーダイン,192.0,2025-12-10 02:45:02
3853,アステリア,1010.0,2025-12-10 02:45:02
3936,グローバルウェイ,130.0,2025-12-10 02:45:02
7359,東京通信,299.0,2025-12-10 02:45:03
4880,セルソース,481.0,2025-12-10 02:45:03
7138,TORICO,142.0,2025-12-10 02:45:04
5250,プライム・ストラテジー,1494.0,2025-12-10 02:45:04
7711,助川電気工業,7060.0,2025-12-10 02:45:05
4424,Amazia,356.0,2025-12-10 02:45:05
6731,ピクセラ,39.0,2025-12-10 02:45:06
7806,MTG,4915.0,2025-12-10 02:45:06
4234,サンエー化研,870.0,2025-12-10 02:45:07
4570,免疫生物研究所,1771.0,2025-12-10 02:45:07
4720,城南進学研究社,273.0,2025-12-10 02:45:08
4446,リンクユーグループ,1055.0,2025-12-10 02:45:08
