銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,55610.0,2025-12-09 22:35:38
8035,東京エレクトロン,33520.0,2025-12-09 22:35:38
6857,アドバンテスト,20255.0,2025-12-09 22:35:39
6920,レーザーテック,32930.0,2025-12-09 22:35:39
9984,ソフトバンクグループ,18760.0,2025-12-09 22:35:40
6861,キーエンス,54200.0,2025-12-09 22:35:40
7735,SCREENホールディングス,13785.0,2025-12-09 22:35:40
6367,ダイキン工業,19480.0,2025-12-09 22:35:41
7974,任天堂,11870.0,2025-12-09 22:35:41
6954,ファナック,6146.0,2025-12-09 22:35:42
6501,日立製作所,4905.0,2025-12-09 22:35:42
6723,ルネサスエレクトロニクス,2147.0,2025-12-09 22:35:43
7751,キヤノン,4638.0,2025-12-09 22:35:43
6976,太陽誘電,3839.0,2025-12-09 22:35:44
7203,トヨタ自動車,3060.0,2025-12-09 22:35:44
8031,三井物産,4295.0,2025-12-09 22:35:45
8058,三菱商事,3826.0,2025-12-09 22:35:45
8306,三菱UFJフィナンシャル・グループ,2486.5,2025-12-09 22:35:46
8316,三井住友フィナンシャルグループ,4863.0,2025-12-09 22:35:46
8411,みずほフィナンシャルグループ,5650.0,2025-12-09 22:35:47
8591,オリックス,4325.0,2025-12-09 22:35:47
9101,日本郵船,4844.0,2025-12-09 22:35:47
9104,商船三井,4459.0,2025-12-09 22:35:48
9107,川崎汽船,2105.5,2025-12-09 22:35:48
4063,信越化学工業,4801.0,2025-12-09 22:35:49
4502,武田薬品工業,4491.0,2025-12-09 22:35:49
6762,TDK,2391.5,2025-12-09 22:35:50
2914,日本たばこ産業,5794.0,2025-12-09 22:35:50
7201,日産自動車,391.5,2025-12-09 22:35:51
7267,ホンダ,1522.5,2025-12-09 22:35:51
8105,Bitcoin Japan,276.0,2025-12-09 22:35:52
5016,JX金属,1723.5,2025-12-09 22:35:52
3656,KLab,340.0,2025-12-09 22:35:52
4565,そーせいグループ,863.0,2025-12-09 22:35:53
4582,シンバイオ製薬,100.0,2025-12-09 22:35:53
4592,サンバイオ,1735.0,2025-12-09 22:35:54
4477,BASE,317.0,2025-12-09 22:35:54
4599,ステムリム,256.0,2025-12-09 22:35:55
4167,ココペリ,306.0,2025-12-09 22:35:55
4385,メルカリ,2924.5,2025-12-09 22:35:55
4478,フリー,3120.0,2025-12-09 22:35:56
3903,gumi,371.0,2025-12-09 22:35:56
3911,Aiming,224.0,2025-12-09 22:35:57
3697,SHIFT,938.2999877929688,2025-12-09 22:35:57
3624,アクセルマーク,93.0,2025-12-09 22:35:57
7779,サイバーダイン,192.0,2025-12-09 22:35:58
3853,アステリア,1010.0,2025-12-09 22:35:58
3936,グローバルウェイ,130.0,2025-12-09 22:35:59
7359,東京通信,299.0,2025-12-09 22:35:59
4880,セルソース,481.0,2025-12-09 22:36:00
7138,TORICO,142.0,2025-12-09 22:36:00
5250,プライム・ストラテジー,1494.0,2025-12-09 22:36:00
7711,助川電気工業,7060.0,2025-12-09 22:36:01
4424,Amazia,356.0,2025-12-09 22:36:01
6731,ピクセラ,39.0,2025-12-09 22:36:02
7806,MTG,4915.0,2025-12-09 22:36:02
4234,サンエー化研,870.0,2025-12-09 22:36:03
4570,免疫生物研究所,1771.0,2025-12-09 22:36:03
4720,城南進学研究社,273.0,2025-12-09 22:36:04
4446,リンクユーグループ,1055.0,2025-12-09 22:36:04
