銘柄コード,銘柄名,株価,取得時間(JST)
9983,ファーストリテイリング,56540.0,2025-12-03 17:19:21
8035,東京エレクトロン,32850.0,2025-12-03 17:19:22
6857,アドバンテスト,20925.0,2025-12-03 17:19:22
6920,レーザーテック,30330.0,2025-12-03 17:19:22
9984,ソフトバンクグループ,16710.0,2025-12-03 17:19:23
6861,キーエンス,52250.0,2025-12-03 17:19:23
7735,SCREENホールディングス,14060.0,2025-12-03 17:19:24
6367,ダイキン工業,19720.0,2025-12-03 17:19:24
7974,任天堂,12735.0,2025-12-03 17:19:25
6954,ファナック,5236.0,2025-12-03 17:19:25
6501,日立製作所,4900.0,2025-12-03 17:19:26
6723,ルネサスエレクトロニクス,1939.0,2025-12-03 17:19:26
7751,キヤノン,4599.0,2025-12-03 17:19:26
6976,太陽誘電,3703.0,2025-12-03 17:19:27
7203,トヨタ自動車,3004.0,2025-12-03 17:19:27
8031,三井物産,4103.0,2025-12-03 17:19:28
8058,三菱商事,3683.0,2025-12-03 17:19:28
8306,三菱UFJフィナンシャル・グループ,2471.5,2025-12-03 17:19:29
8316,三井住友フィナンシャルグループ,4830.0,2025-12-03 17:19:29
8411,みずほフィナンシャルグループ,5574.0,2025-12-03 17:19:30
8591,オリックス,4236.0,2025-12-03 17:19:30
9101,日本郵船,4845.0,2025-12-03 17:19:30
9104,商船三井,4386.0,2025-12-03 17:19:31
9107,川崎汽船,2061.0,2025-12-03 17:19:31
4063,信越化学工業,4679.0,2025-12-03 17:19:32
4502,武田薬品工業,4453.0,2025-12-03 17:19:32
6762,TDK,2424.0,2025-12-03 17:19:33
2914,日本たばこ産業,5822.0,2025-12-03 17:19:33
7201,日産自動車,362.79998779296875,2025-12-03 17:19:34
7267,ホンダ,1506.5,2025-12-03 17:19:34
8105,Bitcoin Japan,313.0,2025-12-03 17:19:34
5016,JX金属,1660.5,2025-12-03 17:19:35
3656,KLab,246.0,2025-12-03 17:19:35
4565,そーせいグループ,813.0,2025-12-03 17:19:36
4582,シンバイオ製薬,100.0,2025-12-03 17:19:36
4592,サンバイオ,1555.0,2025-12-03 17:19:36
4477,BASE,319.0,2025-12-03 17:19:37
4599,ステムリム,254.0,2025-12-03 17:19:37
4167,ココペリ,311.0,2025-12-03 17:19:38
4385,メルカリ,2723.5,2025-12-03 17:19:38
4478,フリー,2976.0,2025-12-03 17:19:39
3903,gumi,382.0,2025-12-03 17:19:39
3911,Aiming,225.0,2025-12-03 17:19:39
3697,SHIFT,932.5,2025-12-03 17:19:40
3624,アクセルマーク,88.0,2025-12-03 17:19:40
7779,サイバーダイン,179.0,2025-12-03 17:19:41
3853,アステリア,1090.0,2025-12-03 17:19:41
3936,グローバルウェイ,132.0,2025-12-03 17:19:41
7359,東京通信,305.0,2025-12-03 17:19:42
4880,セルソース,484.0,2025-12-03 17:19:42
7138,TORICO,153.0,2025-12-03 17:19:43
5250,プライム・ストラテジー,1505.0,2025-12-03 17:19:43
7711,助川電気工業,7030.0,2025-12-03 17:19:43
4424,Amazia,324.0,2025-12-03 17:19:44
6731,ピクセラ,39.0,2025-12-03 17:19:44
7806,MTG,4670.0,2025-12-03 17:19:45
4234,サンエー化研,860.0,2025-12-03 17:19:45
4720,城南進学研究社,274.0,2025-12-03 17:19:46
4446,リンクユーグループ,1247.0,2025-12-03 17:19:46
